title,price,make,model,yom,mileage,engine_cc,location,url,scrape_date
TVS Ntorq 125 2026,158500,TVS,Ntorq 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-colombo-526,2026-02-21
TVS Ntorq 125 Brand New 2026,159000,TVS,Ntorq 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-617,2026-02-21
TVS Ntorq 125 2026,158500,TVS,Ntorq 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-colombo-525,2026-02-21
TVS Ntorq 125 2026,158500,TVS,Ntorq 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-colombo-524,2026-02-21
Bajaj CT100 2026,184000,Bajaj,CT100,2026,0,100,Gampaha,https://ikman.lk/en/ad/bajaj-ct100-2026-for-sale-gampaha-389,2026-02-21
Bajaj CT100 2006,230000,Bajaj,CT100,2006,34344,100,Gampaha,https://ikman.lk/en/ad/bajaj-ct100-trim-edition-2006-for-sale-gampaha,2026-02-21
Bajaj XCD 125 2010,178000,Bajaj,XCD 125,2010,65500,125,Batticaloa,https://ikman.lk/en/ad/bajaj-xcd-125-2010-for-sale-batticaloa-1,2026-02-21
Bajaj XCD 125 2010,178000,Bajaj,XCD 125,2010,65500,125,Ampara,https://ikman.lk/en/ad/bajaj-xcd-125-2010-for-sale-ampara-2,2026-02-21
Hero Xoom 110 2025,224520,Hero,Xoom 110,2025,0,110,Colombo,https://ikman.lk/en/ad/hero-xoom-110-2025-for-sale-colombo-290,2026-02-21
Hero Hunk 160R #160Cc 2026,454950,Hero,Hunk 160R,2026,0,160,Colombo,https://ikman.lk/en/ad/hero-hunk-160r-160cc-2026-for-sale-colombo-5,2026-02-21
Bajaj Platina 100 ES 2016,360000,Bajaj,Platina 100 ES,2016,46500,100,Colombo,https://ikman.lk/en/ad/bajaj-platina-100-es-2016-for-sale-colombo-58,2026-02-21
Bajaj Pulsar 150 2018,710000,Bajaj,Pulsar 150,2018,45185,150,Batticaloa,https://ikman.lk/en/ad/bajaj-pulsar-150-2018-for-sale-batticaloa-390,2026-02-21
