title,price,make,model,yom,mileage,engine_cc,location
TVS Victor 2003,70000,Tvs,Victor,2003,62100,110,Gampaha
Bajaj CT100 2017,118000,Bajaj,Ct100,2017,60000,100,Gampaha
TVS Scooty Pep+ 2007,220000,Tvs,Scooty Pep+,2007,25000,90,Colombo
Honda PCX160 2022,1740000,Honda,Pcx160,2022,120,160,Colombo
Bajaj Pulsar 150 . 2018,95000,Bajaj,Pulsar 150,2018,90000,150,Colombo
Honda Hornet 600F 2012,1550000,Honda,Hornet,2012,18562,600,Colombo
TVS Ntorq 125 2026,59900,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj Discover 125 2014,85000,Bajaj,Discover 125,2014,41318,125,Gampaha
TVS Metro 2012,235000,Tvs,Metro,2012,55000,100,Anuradhapura
Bajaj Platina 100 2017,450000,Bajaj,Platina 100,2017,57150,102,Kandy
Bajaj Pulsar NS200 2026,510000,Bajaj,Pulsar Ns200,2026,0,200,Gampaha
Bajaj Pulsar NS200 Brand New 2026,303145,Bajaj,Pulsar Ns200,2026,0,200,Colombo
Bajaj Pulsar NS200 New 2019,270000,Bajaj,Pulsar Ns200,2019,34000,200,Colombo
Bajaj Pulsar 135 2013,305000,Bajaj,Pulsar 135,2013,65200,135,Galle
Hero XOOM 125R White 2026,248000,Hero,Xoom 125R,2026,3,125,Gampaha
Hero Pleasure 2015,305000,Hero,Pleasure,2015,38000,110,Galle
Suzuki Burgman 2018,200000,Suzuki,Burgman,2018,35000,125,Colombo
Bajaj CT100 Brandnew 2026,184500,Bajaj,Ct100,2026,0,100,Colombo
Hero HF Deluxe 2020,450000,Hero,Hf Deluxe,2020,32900,110,Batticaloa
Bajaj Pulsar N160 2026,416500,Bajaj,Pulsar N160,2026,0,160,Colombo
TVS Ntorq 125 Brand New 2026,178500,Tvs,Ntorq 125,2026,0,125,Colombo
Hero Xoom 110 2025,270000,Hero,Xoom 110,2025,0,110,Colombo
Yamaha RayZR 2026,284950,Yamaha,Rayzr,2026,1,125,Gampaha
Bajaj Pulsar N160 Premium 2026,377350,Bajaj,Pulsar N160,2026,0,160,Kegalle
